"ts","trigger","day","week","month"
2019-04-13 22:30:00,"Coke Classic",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"whiskey ",2019-04-14,2019-04-14,2019-04-01
2019-04-13 07:35:00,"Pizza",2019-04-13,2019-04-07,2019-04-01
2019-04-12 17:00:00,"Peanut butter panda puffs",2019-04-13,2019-04-07,2019-04-01
2019-04-12 17:00:00,"Lactose-free milk",2019-04-13,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Coke Classic",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"whiskey ",2019-04-12,2019-04-07,2019-04-01
2019-04-11 22:35:00,"Pizza",2019-04-12,2019-04-07,2019-04-01
2019-04-12 02:35:00,"My quinoa dish",2019-04-12,2019-04-07,2019-04-01
2019-04-12 02:35:00,"Beef kebab",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Noodle dish",2019-04-12,2019-04-07,2019-04-01
2019-04-11 05:00:00,"Lactose-free milk",2019-04-11,2019-04-07,2019-04-01
2019-04-11 05:00:00,"Panda puffs",2019-04-11,2019-04-07,2019-04-01
2019-04-11 01:35:00,"Beef kebab",2019-04-11,2019-04-07,2019-04-01
2019-04-11 01:35:00,"My quinoa dish",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Bread",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Oatmeal",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Hummus",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Eggs",2019-04-11,2019-04-07,2019-04-01
2019-04-10 16:15:00,"Coffee",2019-04-10,2019-04-07,2019-04-01
2019-04-10 06:05:00,"Beef kebab",2019-04-10,2019-04-07,2019-04-01
2019-04-10 06:05:00,"My quinoa dish",2019-04-10,2019-04-07,2019-04-01
2019-04-10 05:05:00,"Whey protein",2019-04-10,2019-04-07,2019-04-01
2019-04-09 21:15:00,"Bibimbap",2019-04-10,2019-04-07,2019-04-01
2019-04-09 19:05:00,"Iced latte",2019-04-10,2019-04-07,2019-04-01
2019-04-09 17:10:00,"Eggs",2019-04-10,2019-04-07,2019-04-01
2019-04-09 17:10:00,"Bread",2019-04-10,2019-04-07,2019-04-01
2019-04-09 06:30:00,"Whey protein",2019-04-09,2019-04-07,2019-04-01
2019-04-09 03:10:00,"Pizza",2019-04-09,2019-04-07,2019-04-01
2019-04-08 18:15:00,"Coffee",2019-04-09,2019-04-07,2019-04-01
2019-04-08 20:10:00,"Coffee",2019-04-09,2019-04-07,2019-04-01
2019-04-08 22:10:00,"Sandwich",2019-04-09,2019-04-07,2019-04-01
2019-04-08 17:45:00,"Clif bar",2019-04-09,2019-04-07,2019-04-01
2019-04-08 08:00:00,"Clif bar",2019-04-08,2019-04-07,2019-04-01
2019-04-08 04:30:00,"Pasta",2019-04-08,2019-04-07,2019-04-01
2019-04-08 04:30:00,"Tomato sauce",2019-04-08,2019-04-07,2019-04-01
2019-04-08 04:30:00,"Bread",2019-04-08,2019-04-07,2019-04-01
2019-04-08 04:30:00,"Peanut butter",2019-04-08,2019-04-07,2019-04-01
2019-04-08 04:30:00,"Beef kebab",2019-04-08,2019-04-07,2019-04-01
